slate,5.5072
irate,5.4793
stare,5.4622
raise,5.448
crate,5.4381
snare,5.4355
trace,5.4239
crane,5.3979
arise,5.3852
leant,5.3361
alert,5.3252
scare,5.3192
slant,5.3095
train,5.3073
stale,5.3061
saint,5.303
learn,5.2943
saute,5.2906
least,5.2876
stair,5.2863
share,5.285
saner,5.2844
trade,5.2831
alien,5.2813
trice,5.2808
react,5.2746
grate,5.2616
trail,5.2594
roast,5.2529
slice,5.2444
siren,5.2425
glare,5.2361
heart,5.2304
spare,5.2298
slain,5.2278
plate,5.2244
trial,5.2183
later,5.2111
alone,5.211
sonar,5.207
alter,5.2068
store,5.2066
blare,5.2031
plane,5.2018
arose,5.2011
shire,5.1916
snore,5.1822
parse,5.179
suite,5.1777
scale,5.1755
solar,5.1713
caste,5.1651
sauce,5.1566
lance,5.1563
atone,5.1556
aisle,5.1461
snarl,5.1459
satin,5.1435
cairn,5.1406
tripe,5.1399
rinse,5.1376
cater,5.1323
teary,5.1316
shale,5.1298
spire,5.1227
tried,5.1182
urine,5.118
stain,5.1136
route,5.1128
pearl,5.1079
flare,5.1059
crone,5.1055
triad,5.1052
clear,5.1024
grace,5.1019
snail,5.0963
slide,5.0962
great,5.0922
truce,5.0899
brace,5.0884
place,5.0863
dealt,5.0854
cleat,5.0853
tread,5.0824
stone,5.0817
large,5.0799
leapt,5.0785
lathe,5.0783
shear,5.0742
canoe,5.0731
drain,5.072
score,5.0675
renal,5.0662
noise,5.0647
grant,5.0611
plait,5.056
paste,5.0525
ratio,5.0504
drape,5.0496
scant,5.0485
price,5.0479
snort,5.0471
yearn,5.0455
meant,5.0451
stern,5.045
slime,5.0445
earth,5.0444
steal,5.0437
shine,5.0434
smart,5.0422
risen,5.0418
shore,5.0387
since,5.0363
rouse,5.0298
stage,5.0291
brine,5.0286
tribe,5.0281
haste,5.0264
spite,5.0262
drone,5.0255
hater,5.0252
arson,5.0247
enact,5.0215
stole,5.0203
coast,5.0184
pleat,5.0183
plant,5.0173
cause,5.0156
adore,5.0126
taper,5.0084
clone,5.0073
space,5.0057
shirt,5.0055
spear,5.0039
lapse,5.0031
inert,5.0029
range,5.0022
satyr,5.0022
prone,5.002
paint,4.9992
liner,4.9934
salon,4.9919
plier,4.9912
crest,4.9905
trash,4.989
loser,4.9867
yeast,4.9853
tenor,4.9851
stein,4.9849
write,4.9843
print,4.9823
trope,4.9805
paler,4.9791
resin,4.9787
rainy,4.9786
haute,4.9777
clean,4.9771
tonal,4.977
cadet,4.9741
cried,4.9736
coral,4.9723
smite,4.9715
grain,4.9707
louse,4.9697
carol,4.9686
spine,4.9675
grade,4.9672
tamer,4.9671
dance,4.9667
shalt,4.9656
smear,4.9635
laden,4.9622
table,4.9612
tapir,4.9612
grail,4.9608
merit,4.9607
layer,4.9604
chart,4.9582
baste,4.9576
afire,4.9562
spore,4.9549
onset,4.9533
leash,4.9532
grape,4.953
droit,4.9501
beast,4.9481
horse,4.946
stray,4.9456
inlet,4.9447
cruel,4.9436
nurse,4.9435
sedan,4.9417
crime,4.9415
brain,4.9413
poise,4.9405
talon,4.9385
acute,4.938
lager,4.9368
scone,4.9363
prune,4.9362
heard,4.9354
close,4.9347
snide,4.932
panel,4.9318
snipe,4.9318
aider,4.9316
ramen,4.9294
pause,4.9285
skate,4.928
shade,4.9259
islet,4.9253
loath,4.9246
plain,4.9246
their,4.9243
shone,4.9239
farce,4.9233
eclat,4.9215
spiel,4.9215
utile,4.9185
reach,4.9172
borne,4.9167
strap,4.9162
heist,4.9158
alike,4.9153
slope,4.9139
court,4.9096
lunar,4.9093
staid,4.9082
realm,4.9078
trend,4.9069
pride,4.9063
shape,4.9056
curse,4.9052
bleat,4.905
stake,4.9047
prose,4.8996
argue,4.8994
stand,4.8993
acorn,4.8974
unite,4.897
artsy,4.8968
giant,4.8908
aside,4.8906
lithe,4.8893
smile,4.8893
anime,4.8876
brute,4.8875
glade,4.8871
polar,4.8862
safer,4.8843
chair,4.8842
peril,4.884
short,4.8838
snake,4.8835
petal,4.8832
chase,4.8825
slept,4.8824
pried,4.8814
spice,4.8788
inter,4.8777
caper,4.8749
outer,4.8747
stead,4.8747
cedar,4.8736
cutie,4.8736
feast,4.8735
blast,4.8721
gloat,4.8703
drake,4.8696
salty,4.8687
shame,4.8685
baler,4.868
tilde,4.8668
teach,4.8667
early,4.8645
spade,4.8623
remit,4.8596
chore,4.8593
crust,4.8587
agile,4.858
blade,4.8576
dairy,4.8564
groan,4.8563
flair,4.8551
nadir,4.8538
scent,4.8531
relay,4.8508
forte,4.85
penal,4.8498
waste,4.8478
cream,4.8475
prime,4.8472
false,4.8462
leach,4.8461
splat,4.845
shard,4.8428
scary,4.8424
phase,4.8417
slang,4.8375
anode,4.8365
actor,4.8356
wrote,4.8354
crave,4.8349
hoard,4.8348
ultra,4.8322
beard,4.8321
diary,4.8317
nicer,4.8302
roach,4.8293
point,4.8289
sport,4.8285
frail,4.8277
water,4.8254
glean,4.8252
diner,4.824
hairy,4.8231
daunt,4.8221
boast,4.8214
surge,4.8208
organ,4.8206
cable,4.8194
opine,4.8175
bloat,4.8174
chant,4.8171
smote,4.817
swear,4.8146
crash,4.8145
erupt,4.8145
regal,4.8145
death,4.8134
taker,4.813
tiger,4.8128
gripe,4.8126
purse,4.8111
frame,4.8093
molar,4.8079
singe,4.8078
